name,category,address,phone,website,rating,reviews,location,scraped_at
eMaids Cleaning Service of NYC,House cleaning service,"244 5th Ave # K262, New York, NY 10001",(646) 453-4332,https://emaidsinc.com/new-york-city/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp,4.8,456,"New York, NY",2026-04-01 15:44
Sparkly Maid NYC Cleaning Services,House cleaning service,"447 Broadway 2nd floor #523, New York, NY 10013",(646) 585-3515,https://www.sparklymaidnyc.com/,4.9,439,"New York, NY",2026-04-01 15:44
Cleany NYC Cleaning Service,House cleaning service,"167 Madison Ave Suite 202, New York, NY 10016",(212) 851-6134,http://www.bookcleany.com/,4.9,498,"New York, NY",2026-04-01 15:44
Maid Marines,House cleaning service,"121 W 27th St Suite 1003c, New York, NY 10001",(212) 390-1629,https://maidmarines.com/,4.6,174,"New York, NY",2026-04-01 15:44
Luxury Cleaning,House cleaning service,"529 E 5th St, New York, NY 10009",(212) 537-0153,https://luxurycleaningny.com/?utm_source=Google%20My%20Business%20URL&utm_medium=GMB%20Home%20URL&utm_campaign=GMB%20Page,4.7,66,"New York, NY",2026-04-01 15:44
MyClean,House cleaning service,"247 W 35th St # 9r, New York, NY 10001",(855) 692-5326,https://www.myclean.com/,4.2,356,"New York, NY",2026-04-01 15:45
Superb Maids NYC,House cleaning service,"276 5th Ave 704 2471, New York, NY 10001",(646) 417-8343,https://www.superbmaidsnyc.com/,5.0,176,"New York, NY",2026-04-01 15:45
White Glove Cleaner,House cleaning service,"55 5th Ave 19th floor #216, New York, NY 10003",(212) 470-4961,https://whiteglovecleaner.com/,4.7,34,"New York, NY",2026-04-01 15:45
Village Home Cleaning,House cleaning service,"New York, NY 10012",(646) 584-3675,https://villagehomecleaning.com/,5.0,226,"New York, NY",2026-04-01 15:45
Wizard of Homes,House cleaning service,N/A,(646) 606-2726,https://wizardofhomes.com/,5.0,635,"New York, NY",2026-04-01 15:45
Tempest Cleaning Service,House cleaning service,"520 Hudson St, New York, NY 10014",(877) 455-4256,N/A,4.9,49,"New York, NY",2026-04-01 15:45
Cleanzilla Cleaning Nyc,House cleaning service,"39-08 24th St Suíte 4, Long Island City, NY 11101",(347) 972-8533,https://cleanzillacleaning.com/,5.0,577,"New York, NY",2026-04-01 15:45
Galaxy Maids,House cleaning service,"1178 Broadway 3rd Floor #1324, New York, NY 10001",(212) 899-5067,https://galaxymaids.com/,4.8,92,"New York, NY",2026-04-01 15:45
NY Brite,House cleaning service,"509 Grand St, New York, NY 10002",(646) 453-7173,https://www.nybrite.com/,4.9,53,"New York, NY",2026-04-01 15:45
Fress | NYC Cleaning Service,House cleaning service,"244 Madison Ave, New York, NY 10016",(929) 498-5704,http://fressclean.com/,5.0,25,"New York, NY",2026-04-01 15:46
Lazy Susans Cleaning Service,House cleaning service,"396 Washington Ave, Brooklyn, NY 11238",(347) 984-9068,https://www.lazysusanscleaning.com/,4.5,284,"New York, NY",2026-04-01 15:46
Home Cleaning NYC,House cleaning service,N/A,(347) 321-9443,https://homecleaning.nyc/,4.9,131,"New York, NY",2026-04-01 15:46
Town House Specialty Cleaning Co.,Cleaning service,"242 W 36th St., New York, NY 10018",(212) 594-8300,https://www.townhousecleaning.com/,4.6,49,"New York, NY",2026-04-01 15:46
MaidPro,House cleaning service,"59 E 7th St, New York, NY 10003",(347) 970-2779,https://www.maidpro.com/manhattan/?utm_source=gmb&utm_medium=organic,4.9,182,"New York, NY",2026-04-01 15:46
ASAP Home Cleaning,House cleaning service,"282 11th Ave, New York, NY 10001",(618) 936-0066,https://www.asap-homecleaning.com/,5.0,85,"New York, NY",2026-04-01 15:46
Maria Housekeeping NYC,House cleaning service,"75-06 64th Pl, Glendale, NY 11385",(347) 775-8014,https://www.mariahousekeeping.com/,4.9,140,"New York, NY",2026-04-01 15:46
Housekeeping NYC,House cleaning service,"105-35 63rd Ave, Forest Hills, NY 11375",(929) 633-4441,http://housekeepingnyc.com/,4.8,119,"New York, NY",2026-04-01 15:46
Homey,House cleaning service,"601 W 149th St Apt 48, New York, NY 10031",(929) 393-2578,https://homeylikeus.com/,4.9,53,"New York, NY",2026-04-01 15:46
Manhattan Cleaning Solutions,Cleaning service,"2050 Frederick Douglass Blvd Suite #202, New York, NY 10026",(646) 919-3361,https://www.manhattancleaningsolutions.com/?y_source=1_MTA2ODg4ODU3NC03MTUtbG9jYXRpb24ud2Vic2l0ZQ==,4.8,49,"New York, NY",2026-04-01 15:47
Zen Home Cleaning of Manhattan NYC,House cleaning service,"121 W 27th St #801, New York, NY 10001",(212) 462-2566,https://zenhomecleaning.com/,4.6,208,"New York, NY",2026-04-01 15:47
Crystal view cleaning,House cleaning service,"31 Montana Ct, Staten Island, NY 10303",(917) 302-8651,https://crystalviewcleaning.net/,5.0,715,"New York, NY",2026-04-01 15:47
Grace Cleaning Services NYC,House cleaning service,"455 E 14th St, New York, NY 10009",(212) 470-3346,http://www.gracenewyork.com/,4.8,27,"New York, NY",2026-04-01 15:47
Maid Service NYC,House cleaning service,N/A,(212) 837-8596,http://maidservicenyc.com/,4.9,39,"New York, NY",2026-04-01 15:47
Green Island Cleaning Services Inc,Janitorial service,"800 3rd Ave #1303, New York, NY 10022",(718) 635-2533,https://greenislandcleaningservices.com/,5.0,47,"New York, NY",2026-04-01 15:47
Anytime 24/7 Professional Cleaning Services,Cleaning service,"567 W 186th St, New York, NY 10033",(347) 514-4032,https://www.anytime247cleaningservice.com/,5.0,38,"New York, NY",2026-04-01 15:47
